,index,0,1,2,3,4,5
29,19.38_-412.56_202.98_-409.08,"[19.38, -412.56, 202.98, -409.08, 19.3193572976061, -615.640574666812, 202.919357297606, -405.880574666812]","[19.3193572976061, -615.640574666812, 202.919357297606, -405.880574666812, 19.2587145952122, -818.721149333624, 202.858714595213, -402.681149333623]","[19.2587145952122, -818.721149333624, 202.858714595213, -402.681149333623, 19.1980718928183, -1021.80172400044, 202.798071892819, -399.481724000435]","[19.1980718928183, -1021.80172400044, 202.798071892819, -399.481724000435, 19.1374291904244, -1224.88229866725, 202.737429190425, -396.282298667247]",,
30,11.9_-446.32_12.28_-511.12,"[11.9, -446.32, 12.28, -511.12, 8.70005502068122, -743.885431776113, 9.08005502068122, -511.138765109446]","[8.70005502068122, -743.885431776113, 9.08005502068122, -511.138765109446, 5.50011004136245, -1041.45086355223, 5.88011004136244, -511.157530218893]","[5.50011004136245, -1041.45086355223, 5.88011004136244, -511.157530218893, 2.30016506204367, -1339.01629532834, 2.68016506204366, -511.176295328339]",,,
31,-18.56_-438.72_-104.3_-438.54,"[-18.56, -438.72, -104.3, -438.54, -18.5667179698004, -661.279992948255, -104.306717969800, -441.739992948255]","[-18.5667179698004, -661.279992948255, -104.306717969800, -441.739992948255, -18.5734359396008, -883.839985896510, -104.313435939601, -444.939985896510]","[-18.5734359396008, -883.839985896510, -104.313435939601, -444.939985896510, -18.5801539094012, -1106.39997884476, -104.320153909401, -448.139978844764]","[-18.5801539094012, -1106.39997884476, -104.320153909401, -448.139978844764, -18.5868718792016, -1328.95997179302, -104.326871879202, -451.339971793019]",,
32,210.32_-404.1_212.9_-238.74,"[210.32, -404.1, 212.9, -238.74, 213.519610579164, -808.249921355190, 216.099610579164, -238.789921355190]","[213.519610579164, -808.249921355190, 216.099610579164, -238.789921355190, 216.719221158327, -1212.39984271038, 219.299221158327, -238.839842710380]",,,,
33,229.5_-411.88_454.92_-407.78,"[229.5, -411.88, 454.92, -407.78, 229.441807158177, -683.267195836489, 454.861807158177, -404.580529169822]","[229.441807158177, -683.267195836489, 454.861807158177, -404.580529169822, 229.383614316354, -954.654391672977, 454.803614316354, -401.381058339644]","[229.383614316354, -954.654391672977, 454.803614316354, -401.381058339644, 229.325421474531, -1226.04158750947, 454.745421474531, -398.181587509466]",,,
34,222.22_-445.2_220.7_-509.96,"[222.22, -445.2, 220.7, -509.96, 219.020881077445, -890.324912588600, 217.500881077445, -509.884912588600]","[219.020881077445, -890.324912588600, 217.500881077445, -509.884912588600, 215.821762154890, -1335.44982517720, 214.301762154890, -509.809825177199]",,,,
35,202.74_-441.0_19.7_-444.58,"[202.74, -441.0, 19.7, -444.58, 202.802575445004, -591.199388115513, 19.7625754450040, -447.779388115513]","[202.802575445004, -591.199388115513, 19.7625754450040, -447.779388115513, 202.865150890008, -741.398776231025, 19.8251508900080, -450.978776231025]","[202.865150890008, -741.398776231025, 19.8251508900080, -450.978776231025, 202.927726335012, -891.598164346537, 19.8877263350119, -454.178164346538]","[202.927726335012, -891.598164346537, 19.8877263350119, -454.178164346538, 202.990301780016, -1041.79755246205, 19.9503017800159, -457.377552462050]","[202.990301780016, -1041.79755246205, 19.9503017800159, -457.377552462050, 203.052877225020, -1191.99694057756, 20.0128772250199, -460.576940577563]","[203.052877225020, -1191.99694057756, 20.0128772250199, -460.576940577563, 203.115452670024, -1342.19632869307, 20.0754526700239, -463.776328693075]"
36,462.76_-399.86_459.18_-239.68,"[462.76, -399.86, 459.18, -239.68, 465.959201073564, -799.648498315374, 462.379201073564, -239.608498315375]","[465.959201073564, -799.648498315374, 462.379201073564, -239.608498315375, 469.158402147128, -1199.43699663075, 465.578402147129, -239.536996630749]",,,,
37,480.1_-404.12_682.84_-400.38,"[480.1, -404.12, 682.84, -400.38, 480.040978770083, -602.980544344045, 682.780978770083, -397.180544344045]","[480.040978770083, -602.980544344045, 682.780978770083, -397.180544344045, 479.981957540167, -801.841088688091, 682.721957540166, -393.981088688091]","[479.981957540167, -801.841088688091, 682.721957540166, -393.981088688091, 479.922936310250, -1000.70163303214, 682.662936310249, -390.781633032136]","[479.922936310250, -1000.70163303214, 682.662936310249, -390.781633032136, 479.863915080334, -1199.56217737618, 682.603915080332, -387.582177376182]",,
38,454.98_-436.46_229.52_-440.7,"[454.98, -436.46, 229.52, -440.7, 455.040168550383, -585.146100951903, 229.580168550383, -443.899434285236]","[455.040168550383, -585.146100951903, 229.580168550383, -443.899434285236, 455.100337100767, -733.832201903806, 229.640337100766, -447.098868570472]","[455.100337100767, -733.832201903806, 229.640337100766, -447.098868570472, 455.160505651150, -882.518302855708, 229.700505651149, -450.298302855709]","[455.160505651150, -882.518302855708, 229.700505651149, -450.298302855709, 455.220674201533, -1031.20440380761, 229.760674201532, -453.497737140945]","[455.220674201533, -1031.20440380761, 229.760674201532, -453.497737140945, 455.280842751916, -1179.89050475951, 229.820842751916, -456.697171426181]","[455.280842751916, -1179.89050475951, 229.820842751916, -456.697171426181, 455.341011302299, -1328.57660571142, 229.881011302299, -459.896605711417]"
39,694.42_-391.42_699.92_-240.68,"[694.42, -391.42, 699.92, -240.68, 697.617872081553, -652.483346356520, 703.117872081552, -240.796679689854]","[697.617872081553, -652.483346356520, 703.117872081552, -240.796679689854, 700.815744163106, -913.546692713041, 706.315744163104, -240.913359379707]","[700.815744163106, -913.546692713041, 706.315744163104, -240.913359379707, 704.013616244659, -1174.61003906956, 709.513616244657, -241.030039069561]",,,
40,723.88_-400.08_814.8_-400.22,"[723.88, -400.08, 814.8, -400.22, 723.884927402870, -596.920003793643, 814.804927402870, -397.020003793643]","[723.884927402870, -596.920003793643, 814.804927402870, -397.020003793643, 723.889854805739, -793.760007587286, 814.809854805739, -393.820007587286]","[723.889854805739, -793.760007587286, 814.809854805739, -393.820007587286, 723.894782208609, -990.600011380929, 814.814782208609, -390.620011380928]","[723.894782208609, -990.600011380929, 814.814782208609, -390.620011380928, 723.899709611479, -1187.44001517457, 814.819709611479, -387.420015174571]",,
41,716.3_-436.42_717.32_-515.78,"[716.3, -436.42, 717.32, -515.78, 713.100264279335, -654.671125635523, 714.120264279334, -515.821125635523]","[713.100264279335, -654.671125635523, 714.120264279334, -515.821125635523, 709.900528558670, -872.922251271045, 710.920528558668, -515.862251271046]","[709.900528558670, -872.922251271045, 710.920528558668, -515.862251271046, 706.700792838004, -1091.17337690657, 707.720792838002, -515.903376906568]","[706.700792838004, -1091.17337690657, 707.720792838002, -515.903376906568, 703.501057117339, -1309.42450254209, 704.521057117336, -515.944502542091]",,
42,682.8_-426.0_480.08_-429.6,"[682.8, -426.0, 480.08, -429.6, 682.856818192256, -642.199495537273, 480.136818192256, -432.799495537273]","[682.856818192256, -642.199495537273, 480.136818192256, -432.799495537273, 682.913636384512, -858.398991074546, 480.193636384513, -435.998991074546]","[682.913636384512, -858.398991074546, 480.193636384513, -435.998991074546, 682.970454576768, -1074.59848661182, 480.250454576769, -439.198486611819]","[682.970454576768, -1074.59848661182, 480.250454576769, -439.198486611819, 683.027272769025, -1290.79798214909, 480.307272769025, -442.397982149092]",,
